Linux 5.15.0-91-generic (gl5) 	01/31/2024 	_x86_64_	(32 CPU)

07:08:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:09:02 PM     all      3.75      0.00      4.34      0.14      0.00     91.77
07:09:02 PM       0      0.60      0.00      4.83      0.00      0.00     94.57
07:09:02 PM       1      1.81      0.00      4.62      0.00      0.00     93.57
07:09:02 PM       2      1.00      0.00      4.41      0.00      0.00     94.59
07:09:02 PM       3      1.20      0.00      4.79      0.00      0.00     94.01
07:09:02 PM       4      0.80      0.00      4.40      0.00      0.00     94.80
07:09:02 PM       5      0.80      0.00      4.41      4.41      0.00     90.38
07:09:02 PM       6      1.80      0.00      4.59      0.00      0.00     93.61
07:09:02 PM       7      1.00      0.00      4.41      0.00      0.00     94.59
07:09:02 PM       8      0.80      0.00      4.40      0.00      0.00     94.80
07:09:02 PM       9     87.60      0.00      1.40      0.20      0.00     10.80
07:09:02 PM      10      0.80      0.00      4.62      0.00      0.00     94.58
07:09:02 PM      11      0.60      0.00      4.80      0.00      0.00     94.60
07:09:02 PM      12      0.80      0.00      4.40      0.00      0.00     94.80
07:09:02 PM      13      0.80      0.00      4.40      0.00      0.00     94.80
07:09:02 PM      14      1.00      0.00      4.19      0.00      0.00     94.81
07:09:02 PM      15      1.20      0.00      4.00      0.00      0.00     94.80
07:09:02 PM      16      1.00      0.00      4.20      0.00      0.00     94.80
07:09:02 PM      17      1.00      0.00      4.20      0.00      0.00     94.80
07:09:02 PM      18      0.80      0.00      4.40      0.00      0.00     94.80
07:09:02 PM      19      0.40      0.00      4.61      0.00      0.00     94.99
07:09:02 PM      20      1.20      0.00      4.99      0.00      0.00     93.81
07:09:02 PM      21      1.40      0.00      4.21      0.00      0.00     94.39
07:09:02 PM      22      3.41      0.00      4.82      0.00      0.00     91.77
07:09:02 PM      23      1.40      0.00      4.00      0.00      0.00     94.60
07:09:02 PM      24      1.00      0.00      4.00      0.00      0.00     95.00
07:09:02 PM      25      0.80      0.00      4.40      0.00      0.00     94.80
07:09:02 PM      26      1.00      0.00      4.20      0.00      0.00     94.80
07:09:02 PM      27      1.00      0.00      4.01      0.00      0.00     94.99
07:09:02 PM      28      0.60      0.00      4.60      0.00      0.00     94.80
07:09:02 PM      29      0.60      0.00      4.61      0.00      0.00     94.79
07:09:02 PM      30      0.80      0.00      4.59      0.00      0.00     94.61
07:09:02 PM      31      0.80      0.00      4.40      0.00      0.00     94.80

07:09:02 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:09:07 PM     all      0.81      0.00      0.23      0.72      0.00     98.24
07:09:07 PM       0      0.00      0.00      2.01      0.00      0.00     97.99
07:09:07 PM       1      0.00      0.00      0.20      0.00      0.00     99.80
07:09:07 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM       3      0.20      0.00      0.40      0.00      0.00     99.40
07:09:07 PM       4      0.20      0.00      0.00      0.00      0.00     99.80
07:09:07 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM       6      0.40      0.00      0.20      0.00      0.00     99.40
07:09:07 PM       7      0.00      0.00      0.40      0.00      0.00     99.60
07:09:07 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM       9     23.90      0.00      0.60     23.09      0.00     52.41
07:09:07 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      11      0.00      0.00      0.20      0.00      0.00     99.80
07:09:07 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      18      0.00      0.00      2.40      0.00      0.00     97.60
07:09:07 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      20      0.00      0.00      0.20      0.00      0.00     99.80
07:09:07 PM      21      1.20      0.00      0.40      0.00      0.00     98.40
07:09:07 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      23      0.20      0.00      0.00      0.00      0.00     99.80
07:09:07 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      27      0.00      0.00      0.20      0.00      0.00     99.80
07:09:07 PM      28      0.00      0.00      0.20      0.00      0.00     99.80
07:09:07 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

07:09:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:09:12 PM     all      4.05      0.00      0.23      0.90      0.00     94.82
07:09:12 PM       0      0.60      0.00      0.40      4.02      0.00     94.97
07:09:12 PM       1      0.20      0.00      0.40      0.00      0.00     99.40
07:09:12 PM       2      0.20      0.00      0.60      0.00      0.00     99.20
07:09:12 PM       3      0.00      0.00      0.40      0.00      0.00     99.60
07:09:12 PM       4      0.00      0.00      0.20      0.00      0.00     99.80
07:09:12 PM       5      0.00      0.00      0.20      0.00      0.00     99.80
07:09:12 PM       6      0.00      0.00      0.20      0.00      0.00     99.80
07:09:12 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM       8      0.00      0.00      0.20      0.00      0.00     99.80
07:09:12 PM       9      3.41      0.00      0.20     10.02      0.00     86.37
07:09:12 PM      10      0.20      0.00      0.00      0.00      0.00     99.80
07:09:12 PM      11      0.40      0.00      0.40      0.00      0.00     99.20
07:09:12 PM      12      0.20      0.00      0.00      0.00      0.00     99.80
07:09:12 PM      13      0.40      0.00      0.20      0.80      0.00     98.59
07:09:12 PM      14     73.15      0.00      0.60      2.40      0.00     23.85
07:09:12 PM      15     50.10      0.00      0.80     11.58      0.00     37.52
07:09:12 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM      19      0.20      0.00      0.20      0.00      0.00     99.60
07:09:12 PM      20      0.20      0.00      0.80      0.00      0.00     99.01
07:09:12 PM      21      0.00      0.00      0.40      0.00      0.00     99.60
07:09:12 PM      22      0.00      0.00      0.40      0.00      0.00     99.60
07:09:12 PM      23      0.20      0.00      0.20      0.00      0.00     99.60
07:09:12 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM      26      0.00      0.00      0.20      0.00      0.00     99.80
07:09:12 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM      28      0.20      0.00      0.20      0.00      0.00     99.60
07:09:12 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

07:09:12 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:09:17 PM     all      1.48      0.00      0.08      1.09      0.00     97.35
07:09:17 PM       0      0.00      0.00      0.40      0.60      0.00     99.00
07:09:17 PM       1      0.20      0.00      0.20      0.00      0.00     99.60
07:09:17 PM       2      0.20      0.00      0.20      0.00      0.00     99.60
07:09:17 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM       6      0.20      0.00      0.00      0.00      0.00     99.80
07:09:17 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM       8      0.00      0.00      0.20      0.00      0.00     99.80
07:09:17 PM       9     28.94      0.00      0.80     27.15      0.00     43.11
07:09:17 PM      10      0.20      0.00      0.00      0.00      0.00     99.80
07:09:17 PM      11      0.40      0.00      0.20      1.80      0.00     97.60
07:09:17 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      14     17.00      0.00      0.40      5.40      0.00     77.20
07:09:17 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      20      0.00      0.00      0.20      0.00      0.00     99.80
07:09:17 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

07:09:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:09:22 PM     all      0.51      0.00      0.20      1.86      0.00     97.43
07:09:22 PM       0      0.20      0.00      0.40      0.00      0.00     99.40
07:09:22 PM       1      0.00      0.00      0.60      0.00      0.00     99.40
07:09:22 PM       2      0.20      0.00      0.40      0.00      0.00     99.40
07:09:22 PM       3      0.20      0.00      0.20      0.00      0.00     99.60
07:09:22 PM       4      0.00      0.00      0.40      0.00      0.00     99.60
07:09:22 PM       5      0.00      0.00      0.20      0.00      0.00     99.80
07:09:22 PM       6      0.00      0.00      0.60      0.40      0.00     99.00
07:09:22 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
07:09:22 PM       8      0.00      0.00      0.20      0.00      0.00     99.80
07:09:22 PM       9     14.43      0.00      0.80     59.12      0.00     25.65
07:09:22 PM      10      0.60      0.00      0.60      0.00      0.00     98.80
07:09:22 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
07:09:22 PM      12      0.00      0.00      0.20      0.00      0.00     99.80
07:09:22 PM      13      0.20      0.00      0.00      0.00      0.00     99.80
07:09:22 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:09:22 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:09:22 PM      16      0.00      0.00      0.20      0.00      0.00     99.80
07:09:22 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:09:22 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:09:22 PM      19      0.00      0.00      0.20      0.00      0.00     99.80
07:09:22 PM      20      0.00      0.00      0.40      0.00      0.00     99.60
07:09:22 PM      21      0.20      0.00      0.20      0.00      0.00     99.60
07:09:22 PM      22      0.20      0.00      0.00      0.00      0.00     99.80
07:09:22 PM      23      0.00      0.00      0.60      0.00      0.00     99.40
07:09:22 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:09:22 PM      25      0.20      0.00      0.00      0.00      0.00     99.80
07:09:22 PM      26      0.00      0.00      0.20      0.00      0.00     99.80
07:09:22 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
